"H (A_per_meter)" 	"B (tesla)"
128300.00	0.98
128400.00	0.98
128500.00	0.98
128600.00	0.98
128700.00	0.98
128800.00	0.98
128900.00	0.98
129000.00	0.98
129100.00	0.98
129200.00	0.98
129300.00	0.98
129400.00	0.98
129500.00	0.98
129600.00	0.98
129700.00	0.98
129800.00	0.98
129900.00	0.98
130000.00	0.98
130100.00	0.98
130200.00	0.98
130300.00	0.98
130400.00	0.98
130500.00	0.98
130600.00	0.98
130700.00	0.98
130800.00	0.98
130900.00	0.98
131000.00	0.98
131100.00	0.98
131200.00	0.98
131300.00	0.98
131400.00	0.98
131500.00	0.98
131600.00	0.98
131700.00	0.98
131800.00	0.98
131900.00	0.98
132000.00	0.98
132100.00	0.98
132200.00	0.98
132300.00	0.98
132400.00	0.98
132500.00	0.98
132600.00	0.98
132700.00	0.98
132800.00	0.98
132900.00	0.98
133000.00	0.98
133100.00	0.98
133200.00	0.98
133300.00	0.98
133400.00	0.98
133500.00	0.98
133600.00	0.98
133700.00	0.98
133800.00	0.98
133900.00	0.98
134000.00	0.98
134100.00	0.98
134200.00	0.98
134300.00	0.98
134400.00	0.98
134500.00	0.98
134600.00	0.98
134700.00	0.98
134800.00	0.98
134900.00	0.98
135000.00	0.98
135100.00	0.98
135200.00	0.98
135300.00	0.98
135400.00	0.98
135500.00	0.98
135600.00	0.98
135700.00	0.98
135800.00	0.98
135900.00	0.98
136000.00	0.98
136100.00	0.98
136200.00	0.98
136300.00	0.98
136400.00	0.98
136500.00	0.98
136600.00	0.98
136700.00	0.98
136800.00	0.98
136900.00	0.98
137000.00	0.98
137100.00	0.98
137200.00	0.98
137300.00	0.98
137400.00	0.98
137500.00	0.98
137600.00	0.98
137700.00	0.98
137800.00	0.98
137900.00	0.98
138000.00	0.98
138100.00	0.98
138200.00	0.98
138300.00	0.98
138400.00	0.98
138500.00	0.98
138600.00	0.98
138700.00	0.98
138800.00	0.98
138900.00	0.98
139000.00	0.98
139100.00	0.98
139200.00	0.98
139300.00	0.98
139400.00	0.98
139500.00	0.98
139600.00	0.98
139700.00	0.98
139800.00	0.98
139900.00	0.98
140000.00	0.98
140100.00	0.98
140200.00	0.98
140300.00	0.98
140400.00	0.98
140500.00	0.98
140600.00	0.98
140700.00	0.98
140800.00	0.98
140900.00	0.98
141000.00	0.98
141100.00	0.98
141200.00	0.98
141300.00	0.98
141400.00	0.98
141500.00	0.98
141600.00	0.98
141700.00	0.98
141800.00	0.98
141900.00	0.98
142000.00	0.98
142100.00	0.98
142200.00	0.98
142300.00	0.98
142400.00	0.98
142500.00	0.98
142600.00	0.98
142700.00	0.98
142800.00	0.98
142900.00	0.98
143000.00	0.98
143100.00	0.98
143200.00	0.98
143300.00	0.98
143400.00	0.98
143500.00	0.98
143600.00	0.98
143700.00	0.98
143800.00	0.98
143900.00	0.98
144000.00	0.98
144100.00	0.98
144200.00	0.98
144300.00	0.98
144400.00	0.98
144500.00	0.98
144600.00	0.98
144700.00	0.98
144800.00	0.98
144900.00	0.98
145000.00	0.98
145100.00	0.98
145200.00	0.98
145300.00	0.98
145400.00	0.98
145500.00	0.98
145600.00	0.98
145700.00	0.98
145800.00	0.98
145900.00	0.98
146000.00	0.98
146100.00	0.98
146200.00	0.98
146300.00	0.98
146400.00	0.98
146500.00	0.98
146600.00	0.98
146700.00	0.98
146800.00	0.98
146900.00	0.98
147000.00	0.98
147100.00	0.98
147200.00	0.98
147300.00	0.98
147400.00	0.98
147500.00	0.98
147600.00	0.98
147700.00	0.98
147800.00	0.98
147900.00	0.98
148000.00	0.98
148100.00	0.98
148200.00	0.98
148300.00	0.98
148400.00	0.98
148500.00	0.98
148600.00	0.98
148700.00	0.98
148800.00	0.98
148900.00	0.98
149000.00	0.98
149100.00	0.98
149200.00	0.98
149300.00	0.98
149400.00	0.98
149500.00	0.98
149600.00	0.98
149700.00	0.98
149800.00	0.98
149900.00	0.98
150000.00	0.98
150100.00	0.98
150200.00	0.98
150300.00	0.98
150400.00	0.98
150500.00	0.98
150600.00	0.98
150700.00	0.98
150800.00	0.98
150900.00	0.98
151000.00	0.98
151100.00	0.98
151200.00	0.98
151300.00	0.98
151400.00	0.98
151500.00	0.98
151600.00	0.98
151700.00	0.98
151800.00	0.98
151900.00	0.98
152000.00	0.98
152100.00	0.98
152200.00	0.98
152300.00	0.98
152400.00	0.98
152500.00	0.98
152600.00	0.98
152700.00	0.98
152800.00	0.98
152900.00	0.98
153000.00	0.98
153100.00	0.98
153200.00	0.98
153300.00	0.98
153400.00	0.98
153500.00	0.98
153600.00	0.98
153700.00	0.98
153800.00	0.98
